Distance to run: 100, step: 1
2762:(x,y) = (-62.4415 , -56.5431)
2763:(x,y) = (-63.3871 , -56.2175)
2764:(x,y) = (-63.917 , -57.0655)
2765:(x,y) = (-64.1078 , -56.0839)
2766:(x,y) = (-63.4007 , -55.3768)
2767:(x,y) = (-64.307 , -55.7994)
2768:(x,y) = (-65.3068 , -55.782)
2769:(x,y) = (-66.1055 , -55.1802)
2770:(x,y) = (-65.3861 , -54.4855)
2771:(x,y) = (-66.3521 , -54.7443)
2772:(x,y) = (-66.7104 , -53.8107)
2773:(x,y) = (-66.1658 , -52.9721)
2774:(x,y) = (-67.0863 , -52.5813)
2775:(x,y) = (-66.6956 , -51.6608)
2776:(x,y) = (-66.3865 , -50.7098)
2777:(x,y) = (-65.389 , -50.7795)
2778:(x,y) = (-64.4013 , -50.936)
2779:(x,y) = (-65.1084 , -50.2289)
2780:(x,y) = (-65.1781 , -49.2313)
2781:(x,y) = (-66.1441 , -49.4901)
2782:(x,y) = (-65.1564 , -49.3337)
2783:(x,y) = (-65.0345 , -48.3411)
2784:(x,y) = (-65.2253 , -49.3228)
2785:(x,y) = (-64.319 , -48.9001)
2786:(x,y) = (-64.4582 , -47.9099)
2787:(x,y) = (-64.319 , -46.9196)
2788:(x,y) = (-63.4803 , -47.4642)
2789:(x,y) = (-64.1364 , -46.7095)
2790:(x,y) = (-63.9972 , -47.6998)
2791:(x,y) = (-64.9754 , -47.9077)
2792:(x,y) = (-65.8141 , -48.4523)
2793:(x,y) = (-66.3141 , -49.3184)
2794:(x,y) = (-65.3215 , -49.4402)
2795:(x,y) = (-64.5125 , -50.028)
2796:(x,y) = (-63.567 , -50.3536)
2797:(x,y) = (-63.567 , -51.3536)
2798:(x,y) = (-64.5486 , -51.1628)
2799:(x,y) = (-63.7006 , -50.6329)
2800:(x,y) = (-63.4417 , -51.5988)
2801:(x,y) = (-64.2804 , -52.1434)
2802:(x,y) = (-64.9495 , -52.8866)
2803:(x,y) = (-64.1405 , -52.2988)
2804:(x,y) = (-64.9285 , -51.6831)
2805:(x,y) = (-64.0222 , -51.2605)
2806:(x,y) = (-64.2472 , -50.2861)
2807:(x,y) = (-65.0663 , -50.8597)
2808:(x,y) = (-65.3587 , -51.816)
2809:(x,y) = (-64.5297 , -52.3752)
2810:(x,y) = (-63.5448 , -52.5489)
2811:(x,y) = (-64.322 , -53.1782)
2812:(x,y) = (-65.2731 , -52.8692)
2813:(x,y) = (-65.8887 , -53.6572)
2814:(x,y) = (-65.3588 , -54.5052)
2815:(x,y) = (-64.9681 , -55.4257)
2816:(x,y) = (-65.5974 , -54.6486)
2817:(x,y) = (-64.8313 , -54.0058)
2818:(x,y) = (-65.2221 , -54.9263)
2819:(x,y) = (-65.3266 , -53.9318)
2820:(x,y) = (-66.3169 , -53.7926)
2821:(x,y) = (-65.5289 , -53.1769)
2822:(x,y) = (-65.2198 , -54.128)
2823:(x,y) = (-65.4448 , -55.1024)
2824:(x,y) = (-65.3056 , -56.0926)
2825:(x,y) = (-66.1966 , -55.6386)
2826:(x,y) = (-66.9513 , -56.2947)
2827:(x,y) = (-67.6074 , -55.54)
2828:(x,y) = (-67.1534 , -54.649)
2829:(x,y) = (-66.2962 , -54.134)
2830:(x,y) = (-67.2525 , -53.8416)
2831:(x,y) = (-66.2709 , -54.0324)
2832:(x,y) = (-66.7093 , -53.1336)
2833:(x,y) = (-65.8521 , -52.6186)
2834:(x,y) = (-66.0771 , -53.5929)
2835:(x,y) = (-66.2679 , -54.5746)
2836:(x,y) = (-65.9589 , -55.5256)
2837:(x,y) = (-66.5607 , -56.3242)
2838:(x,y) = (-65.5904 , -56.5662)
2839:(x,y) = (-66.5902 , -56.5836)
2840:(x,y) = (-66.2647 , -55.6381)
2841:(x,y) = (-67.1476 , -56.1076)
2842:(x,y) = (-67.1127 , -57.107)
2843:(x,y) = (-67.3715 , -56.141)
2844:(x,y) = (-66.7024 , -56.8842)
2845:(x,y) = (-67.5215 , -57.4578)
2846:(x,y) = (-66.7335 , -56.8421)
2847:(x,y) = (-66.5944 , -55.8518)
2848:(x,y) = (-66.8532 , -56.8178)
2849:(x,y) = (-66.5775 , -57.779)
2850:(x,y) = (-67.5769 , -57.7441)
2851:(x,y) = (-67.0921 , -58.6187)
2852:(x,y) = (-66.2831 , -59.2065)
2853:(x,y) = (-66.5755 , -58.2502)
2854:(x,y) = (-67.5318 , -58.5426)
2855:(x,y) = (-67.9385 , -57.629)
2856:(x,y) = (-68.6077 , -56.8859)
2857:(x,y) = (-68.0777 , -56.0379)
2858:(x,y) = (-68.5003 , -56.9442)
2859:(x,y) = (-69.4616 , -57.2198)
2860:(x,y) = (-68.6845 , -57.8491)
2861:(x,y) = (-68.0153 , -57.106)
2862:(x,y) = (-67.4707 , -56.2673)
2863:(x,y) = (-66.8279 , -57.0333)
2864:(x,y) = (-66.1588 , -57.7765)
2865:(x,y) = (-67.1533 , -57.881)
2866:(x,y) = (-66.9969 , -56.8933)
2867:(x,y) = (-67.3715 , -55.9662)
2868:(x,y) = (-66.8564 , -55.109)
2869:(x,y) = (-66.4657 , -54.1885)
2870:(x,y) = (-67.436 , -53.9466)
2871:(x,y) = (-68.0921 , -53.1918)
2872:(x,y) = (-68.9307 , -52.6472)
2873:(x,y) = (-68.7228 , -51.6691)
2874:(x,y) = (-69.282 , -52.4981)
2875:(x,y) = (-69.4557 , -51.5133)
2876:(x,y) = (-69.0649 , -52.4338)
2877:(x,y) = (-69.9036 , -51.8892)
2878:(x,y) = (-69.3158 , -51.0801)
2879:(x,y) = (-68.831 , -50.2055)
2880:(x,y) = (-68.2574 , -51.0247)
2881:(x,y) = (-68.8731 , -51.8127)
2882:(x,y) = (-67.8731 , -51.8127)
2883:(x,y) = (-68.6502 , -51.1834)
2884:(x,y) = (-69.5074 , -51.6984)
2885:(x,y) = (-69.149 , -50.7648)
2886:(x,y) = (-69.4079 , -51.7307)
2887:(x,y) = (-68.4466 , -52.0064)
2888:(x,y) = (-67.4466 , -52.0064)
2889:(x,y) = (-68.2126 , -51.3636)
2890:(x,y) = (-67.597 , -50.5756)
2891:(x,y) = (-66.8198 , -51.2049)
2892:(x,y) = (-66.3198 , -50.3389)
2893:(x,y) = (-65.3743 , -50.6644)
2894:(x,y) = (-65.3569 , -51.6643)
2895:(x,y) = (-64.3787 , -51.4564)
2896:(x,y) = (-65.3531 , -51.2314)
2897:(x,y) = (-64.3628 , -51.3706)
2898:(x,y) = (-64.9364 , -50.5515)
2899:(x,y) = (-65.0928 , -49.5638)
2900:(x,y) = (-64.7345 , -50.4973)
2901:(x,y) = (-65.6908 , -50.205)
2902:(x,y) = (-65.8987 , -49.2268)
2903:(x,y) = (-65.2426 , -49.9815)
2904:(x,y) = (-65.7274 , -50.8562)
2905:(x,y) = (-66.5934 , -51.3562)
2906:(x,y) = (-66.3685 , -52.3305)
2907:(x,y) = (-65.6865 , -51.5992)
2908:(x,y) = (-64.6879 , -51.6515)
2909:(x,y) = (-63.7674 , -52.0422)
2910:(x,y) = (-64.0764 , -51.0912)
2911:(x,y) = (-63.5465 , -51.9392)
2912:(x,y) = (-64.4211 , -52.424)
2913:(x,y) = (-63.4814 , -52.7661)
2914:(x,y) = (-63.3595 , -51.7735)
2915:(x,y) = (-62.9688 , -52.694)
2916:(x,y) = (-62.326 , -51.928)
2917:(x,y) = (-61.3988 , -52.3026)
2918:(x,y) = (-62.256 , -51.7875)
2919:(x,y) = (-62.0481 , -52.7657)
2920:(x,y) = (-61.0633 , -52.9393)
2921:(x,y) = (-61.9968 , -53.2977)
2922:(x,y) = (-62.4195 , -52.3914)
2923:(x,y) = (-61.7901 , -51.6143)
2924:(x,y) = (-61.2024 , -50.8052)
2925:(x,y) = (-60.3113 , -50.3512)
2926:(x,y) = (-59.8887 , -51.2576)
2927:(x,y) = (-60.6434 , -51.9136)
2928:(x,y) = (-60.969 , -52.8591)
2929:(x,y) = (-60.5944 , -53.7863)
2930:(x,y) = (-59.8284 , -54.4291)
2931:(x,y) = (-59.2548 , -53.6099)
2932:(x,y) = (-59.3419 , -52.6138)
2933:(x,y) = (-58.8725 , -51.7308)
2934:(x,y) = (-57.8779 , -51.6263)
2935:(x,y) = (-56.9574 , -52.017)
2936:(x,y) = (-56.9051 , -53.0156)
2937:(x,y) = (-56.5795 , -53.9612)
2938:(x,y) = (-55.666 , -53.5544)
2939:(x,y) = (-56.454 , -52.9388)
2940:(x,y) = (-57.1971 , -52.2696)
2941:(x,y) = (-56.1996 , -52.1999)
2942:(x,y) = (-56.1124 , -51.2037)
2943:(x,y) = (-56.8896 , -51.833)
2944:(x,y) = (-55.9283 , -52.1086)
2945:(x,y) = (-55.1623 , -51.4658)
2946:(x,y) = (-56.0452 , -50.9964)
2947:(x,y) = (-56.115 , -51.9939)
2948:(x,y) = (-56.4405 , -52.9395)
2949:(x,y) = (-55.9255 , -53.7966)
2950:(x,y) = (-56.9158 , -53.9358)
2951:(x,y) = (-57.4006 , -54.8104)
2952:(x,y) = (-56.4303 , -54.5685)
2953:(x,y) = (-55.8711 , -55.3975)
2954:(x,y) = (-56.8323 , -55.1219)
2955:(x,y) = (-56.3323 , -55.9879)
2956:(x,y) = (-57.2529 , -56.3787)
2957:(x,y) = (-57.4265 , -55.3938)
2958:(x,y) = (-58.3776 , -55.0848)
2959:(x,y) = (-57.5485 , -55.644)
2960:(x,y) = (-56.7005 , -55.1141)
2961:(x,y) = (-55.706 , -55.2186)
2962:(x,y) = (-55.9983 , -56.1749)
2963:(x,y) = (-54.9983 , -56.1749)
2964:(x,y) = (-54.6728 , -57.1205)
2965:(x,y) = (-54.8636 , -58.1021)
2966:(x,y) = (-53.9431 , -58.4928)
2967:(x,y) = (-54.8702 , -58.8674)
2968:(x,y) = (-54.3702 , -58.0014)
2969:(x,y) = (-54.9721 , -58.8)
2970:(x,y) = (-55.7811 , -59.3878)
2971:(x,y) = (-55.4391 , -58.4481)
2972:(x,y) = (-55.9837 , -59.2868)
2973:(x,y) = (-55.4687 , -60.144)
2974:(x,y) = (-55.1266 , -61.0837)
2975:(x,y) = (-55.179 , -60.085)
2976:(x,y) = (-56.008 , -60.6442)
2977:(x,y) = (-55.8688 , -59.6539)
2978:(x,y) = (-54.8688 , -59.6539)
2979:(x,y) = (-55.1277 , -58.688)
2980:(x,y) = (-55.3696 , -59.6583)
2981:(x,y) = (-54.8696 , -58.7923)
2982:(x,y) = (-55.6576 , -59.408)
2983:(x,y) = (-56.4456 , -58.7923)
2984:(x,y) = (-57.0048 , -59.6213)
2985:(x,y) = (-57.2636 , -60.5873)
2986:(x,y) = (-57.1417 , -59.5947)
2987:(x,y) = (-56.9509 , -58.6131)
2988:(x,y) = (-55.9547 , -58.7002)
2989:(x,y) = (-56.4087 , -57.8092)
2990:(x,y) = (-56.2696 , -58.7995)
2991:(x,y) = (-56.4604 , -59.7811)
2992:(x,y) = (-56.8187 , -58.8475)
2993:(x,y) = (-57.8064 , -58.6911)
2994:(x,y) = (-57.9972 , -59.6727)
2995:(x,y) = (-57.2312 , -59.03)
2996:(x,y) = (-56.6865 , -59.8686)
2997:(x,y) = (-56.9956 , -58.9176)
2998:(x,y) = (-57.4023 , -58.004)
2999:(x,y) = (-57.9759 , -58.8232)
3000:(x,y) = (-57.0304 , -59.1487)
3001:(x,y) = (-56.1557 , -59.6336)
3002:(x,y) = (-55.568 , -60.4426)
3003:(x,y) = (-55.568 , -59.4426)
3004:(x,y) = (-56.377 , -58.8548)
3005:(x,y) = (-56.9362 , -59.6838)
3006:(x,y) = (-57.9337 , -59.7536)
3007:(x,y) = (-58.5765 , -60.5196)
3008:(x,y) = (-59.5613 , -60.6933)
3009:(x,y) = (-59.0021 , -59.8642)
3010:(x,y) = (-59.8931 , -60.3182)
3011:(x,y) = (-59.8234 , -59.3207)
3012:(x,y) = (-60.2617 , -58.4219)
3013:(x,y) = (-59.855 , -57.5083)
3014:(x,y) = (-60.0458 , -56.5267)
3015:(x,y) = (-59.0533 , -56.6486)
3016:(x,y) = (-60.0276 , -56.8735)
3017:(x,y) = (-59.4685 , -56.0445)
3018:(x,y) = (-58.9093 , -56.8735)
3019:(x,y) = (-59.8995 , -57.0127)
3020:(x,y) = (-60.8921 , -56.8908)
3021:(x,y) = (-61.6352 , -57.5599)
3022:(x,y) = (-60.8805 , -58.216)
3023:(x,y) = (-60.6386 , -59.1863)
3024:(x,y) = (-59.8095 , -58.6271)
3025:(x,y) = (-60.5867 , -59.2564)
3026:(x,y) = (-61.543 , -59.5488)
3027:(x,y) = (-62.4176 , -60.0336)
3028:(x,y) = (-63.3631 , -60.3592)
3029:(x,y) = (-64.3618 , -60.4115)
3030:(x,y) = (-64.2572 , -59.417)
3031:(x,y) = (-65.2571 , -59.4344)
3032:(x,y) = (-66.1559 , -58.9961)
3033:(x,y) = (-65.2899 , -58.4961)
3034:(x,y) = (-66.0885 , -57.8943)
3035:(x,y) = (-67.0762 , -57.7378)
3036:(x,y) = (-67.8193 , -57.0687)
3037:(x,y) = (-66.9807 , -57.6133)
3038:(x,y) = (-66.2259 , -56.9573)
3039:(x,y) = (-65.3688 , -57.4723)
3040:(x,y) = (-64.4483 , -57.0816)
3041:(x,y) = (-64.8066 , -58.0152)
3042:(x,y) = (-64.5143 , -58.9715)
3043:(x,y) = (-63.5361 , -58.7636)
3044:(x,y) = (-64.5287 , -58.8854)
3045:(x,y) = (-64.7023 , -59.8702)
3046:(x,y) = (-63.7061 , -59.7831)
3047:(x,y) = (-62.7664 , -59.4411)
3048:(x,y) = (-62.0471 , -60.1357)
3049:(x,y) = (-63.0469 , -60.1532)
3050:(x,y) = (-62.8733 , -59.1684)
3051:(x,y) = (-63.5026 , -58.3912)
3052:(x,y) = (-62.7833 , -57.6966)
3053:(x,y) = (-62.0061 , -57.0672)
3054:(x,y) = (-61.7305 , -58.0285)
3055:(x,y) = (-61.0877 , -58.7945)
3056:(x,y) = (-61.7305 , -58.0285)
3057:(x,y) = (-60.7343 , -58.1157)
3058:(x,y) = (-61.6679 , -57.7573)
3059:(x,y) = (-60.8018 , -58.2573)
3060:(x,y) = (-61.8012 , -58.2224)
3061:(x,y) = (-62.2239 , -57.3161)
3062:(x,y) = (-61.3033 , -56.9253)
3063:(x,y) = (-60.4123 , -57.3793)
3064:(x,y) = (-59.4613 , -57.0703)
3065:(x,y) = (-60.4316 , -56.8284)
3066:(x,y) = (-59.4703 , -56.5528)
3067:(x,y) = (-58.5874 , -56.0833)
3068:(x,y) = (-57.5929 , -55.9788)
3069:(x,y) = (-57.2673 , -56.9243)
3070:(x,y) = (-56.2687 , -56.9766)
3071:(x,y) = (-56.4251 , -57.9643)
3072:(x,y) = (-55.7823 , -57.1983)
3073:(x,y) = (-56.7028 , -56.8075)
3074:(x,y) = (-56.6505 , -57.8062)
3075:(x,y) = (-57.1951 , -58.6448)
3076:(x,y) = (-56.8695 , -59.5903)
3077:(x,y) = (-57.7356 , -59.0903)
3078:(x,y) = (-58.3649 , -58.3132)
3079:(x,y) = (-58.7716 , -59.2267)
3080:(x,y) = (-57.8887 , -59.6962)
3081:(x,y) = (-57.7322 , -58.7085)
3082:(x,y) = (-58.123 , -59.629)
3083:(x,y) = (-58.4976 , -60.5562)
3084:(x,y) = (-57.505 , -60.6781)
3085:(x,y) = (-56.7979 , -59.971)
3086:(x,y) = (-56.4559 , -59.0313)
3087:(x,y) = (-57.0005 , -58.1926)
3088:(x,y) = (-56.2345 , -57.5498)
3089:(x,y) = (-56.4253 , -56.5682)
3090:(x,y) = (-55.6062 , -57.1418)
3091:(x,y) = (-56.3833 , -57.7711)
3092:(x,y) = (-57.1923 , -58.3589)
3093:(x,y) = (-57.9584 , -59.0017)
3094:(x,y) = (-57.52 , -58.1029)
3095:(x,y) = (-57.7956 , -57.1416)
3096:(x,y) = (-57.9864 , -58.1232)
3097:(x,y) = (-57.8128 , -57.1384)
3098:(x,y) = (-58.5199 , -56.4313)
3099:(x,y) = (-58.6071 , -57.4275)
3100:(x,y) = (-57.6194 , -57.2711)
3101:(x,y) = (-56.6218 , -57.2013)
3102:(x,y) = (-55.8338 , -56.5857)
3103:(x,y) = (-55.3338 , -55.7196)
3104:(x,y) = (-54.4951 , -55.175)
3105:(x,y) = (-55.4927 , -55.2448)
3106:(x,y) = (-56.4743 , -55.054)
3107:(x,y) = (-55.6757 , -55.6558)
3108:(x,y) = (-54.7769 , -56.0941)
3109:(x,y) = (-55.7646 , -55.9377)
3110:(x,y) = (-55.6081 , -54.95)
3111:(x,y) = (-56.6075 , -54.9151)
3112:(x,y) = (-56.9165 , -55.8662)
3113:(x,y) = (-56.0685 , -56.3961)
3114:(x,y) = (-55.599 , -57.279)
3115:(x,y) = (-56.0216 , -58.1853)
3116:(x,y) = (-55.0513 , -57.9434)
3117:(x,y) = (-54.0611 , -57.8043)
3118:(x,y) = (-54.5459 , -58.6789)
3119:(x,y) = (-53.9581 , -57.8699)
3120:(x,y) = (-53.0126 , -58.1954)
3121:(x,y) = (-53.9114 , -58.6338)
3122:(x,y) = (-54.7305 , -58.0602)
3123:(x,y) = (-54.3885 , -57.1205)
3124:(x,y) = (-53.9037 , -57.9951)
3125:(x,y) = (-54.7783 , -58.48)
3126:(x,y) = (-55.7759 , -58.4102)
3127:(x,y) = (-56.7269 , -58.7192)
3128:(x,y) = (-56.4014 , -59.6647)
3129:(x,y) = (-57.4 , -59.7171)
3130:(x,y) = (-57.625 , -58.7427)
3131:(x,y) = (-58.6126 , -58.5863)
3132:(x,y) = (-59.6029 , -58.7254)
3133:(x,y) = (-58.6285 , -58.5005)
3134:(x,y) = (-58.8535 , -57.5261)
3135:(x,y) = (-59.6082 , -58.1822)
3136:(x,y) = (-60.5645 , -58.4745)
3137:(x,y) = (-60.5296 , -59.4739)
3138:(x,y) = (-59.9704 , -58.6449)
3139:(x,y) = (-59.2511 , -57.9502)
3140:(x,y) = (-59.1292 , -56.9577)
3141:(x,y) = (-59.8606 , -56.2757)
3142:(x,y) = (-59.9303 , -55.2781)
3143:(x,y) = (-60.8133 , -55.7476)
3144:(x,y) = (-59.8861 , -56.1222)
3145:(x,y) = (-59.0474 , -55.5776)
3146:(x,y) = (-58.2283 , -56.1511)
3147:(x,y) = (-58.9476 , -56.8458)
3148:(x,y) = (-58.8953 , -57.8444)
3149:(x,y) = (-59.7941 , -58.2828)
3150:(x,y) = (-60.6601 , -57.7828)
3151:(x,y) = (-61.2619 , -56.9842)
3152:(x,y) = (-61.0031 , -57.9501)
3153:(x,y) = (-60.5647 , -58.8489)
3154:(x,y) = (-61.521 , -59.1413)
3155:(x,y) = (-62.2403 , -59.8359)
3156:(x,y) = (-63.0595 , -59.2623)
3157:(x,y) = (-63.4821 , -60.1687)
3158:(x,y) = (-63.0126 , -59.2857)
3159:(x,y) = (-62.4108 , -60.0843)
3160:(x,y) = (-62.0525 , -59.1508)
3161:(x,y) = (-61.2538 , -58.5489)
3162:(x,y) = (-61.7233 , -57.666)
3163:(x,y) = (-61.9482 , -58.6404)
3164:(x,y) = (-61.7403 , -59.6185)
3165:(x,y) = (-62.495 , -60.2746)
3166:(x,y) = (-61.5102 , -60.4482)
3167:(x,y) = (-62.0102 , -59.5822)
3168:(x,y) = (-61.014 , -59.495)
3169:(x,y) = (-60.332 , -58.7637)
3170:(x,y) = (-59.523 , -58.1759)
3171:(x,y) = (-58.7459 , -58.8052)
3172:(x,y) = (-58.1867 , -57.9762)
3173:(x,y) = (-58.8295 , -57.2101)
3174:(x,y) = (-59.8111 , -57.0193)
3175:(x,y) = (-58.9821 , -56.4601)
3176:(x,y) = (-58.1629 , -55.8866)
3177:(x,y) = (-57.1684 , -55.782)
3178:(x,y) = (-57.3763 , -56.7602)
3179:(x,y) = (-58.3762 , -56.7776)
3180:(x,y) = (-59.2148 , -57.3223)
3181:(x,y) = (-58.5588 , -56.5676)
3182:(x,y) = (-57.9431 , -57.3556)
3183:(x,y) = (-56.9583 , -57.1819)
3184:(x,y) = (-57.7569 , -57.7837)
3185:(x,y) = (-58.5761 , -57.2102)
3186:(x,y) = (-58.8517 , -56.2489)
3187:(x,y) = (-57.8523 , -56.214)
3188:(x,y) = (-56.9863 , -55.714)
3189:(x,y) = (-56.2203 , -55.0712)
3190:(x,y) = (-55.5909 , -55.8484)
3191:(x,y) = (-55.7474 , -54.8607)
3192:(x,y) = (-55.5224 , -53.8863)
3193:(x,y) = (-55.0376 , -54.7609)
3194:(x,y) = (-55.7067 , -55.5041)
3195:(x,y) = (-56.3361 , -56.2812)
3196:(x,y) = (-55.488 , -55.7513)
3197:(x,y) = (-56.2652 , -56.3806)
3198:(x,y) = (-55.2775 , -56.5371)
3199:(x,y) = (-54.4895 , -55.9214)
3200:(x,y) = (-55.2326 , -55.2523)
3201:(x,y) = (-55.4234 , -56.2339)
3202:(x,y) = (-56.0527 , -57.011)
3203:(x,y) = (-57.023 , -57.253)
3204:(x,y) = (-56.157 , -56.753)
3205:(x,y) = (-56.1221 , -57.7523)
3206:(x,y) = (-56.3129 , -56.7707)
3207:(x,y) = (-55.8903 , -55.8644)
3208:(x,y) = (-55.7511 , -56.8547)
3209:(x,y) = (-56.3804 , -57.6318)
3210:(x,y) = (-56.7872 , -58.5454)
3211:(x,y) = (-57.4432 , -57.7907)
3212:(x,y) = (-58.3262 , -57.3212)
3213:(x,y) = (-57.9195 , -56.4076)
3214:(x,y) = (-56.9451 , -56.1827)
3215:(x,y) = (-55.9574 , -56.0263)
3216:(x,y) = (-56.8146 , -56.5413)
3217:(x,y) = (-57.2994 , -55.6667)
3218:(x,y) = (-56.3212 , -55.4588)
3219:(x,y) = (-56.728 , -54.5452)
3220:(x,y) = (-57.6615 , -54.1869)
3221:(x,y) = (-58.6359 , -54.4118)
3222:(x,y) = (-58.5488 , -53.4156)
3223:(x,y) = (-58.8578 , -52.4646)
3224:(x,y) = (-59.5398 , -51.7332)
3225:(x,y) = (-58.8451 , -52.4525)
3226:(x,y) = (-57.9054 , -52.7946)
3227:(x,y) = (-57.1068 , -52.1927)
3228:(x,y) = (-56.3997 , -51.4856)
3229:(x,y) = (-57.3202 , -51.8764)
3230:(x,y) = (-56.7184 , -52.675)
3231:(x,y) = (-56.1448 , -51.8558)
3232:(x,y) = (-56.3697 , -50.8815)
3233:(x,y) = (-57.3691 , -50.8466)
3234:(x,y) = (-57.7275 , -51.7802)
3235:(x,y) = (-56.7313 , -51.693)
3236:(x,y) = (-56.7313 , -50.693)
3237:(x,y) = (-57.4745 , -51.3621)
3238:(x,y) = (-57.1324 , -50.4224)
3239:(x,y) = (-56.1447 , -50.266)
3240:(x,y) = (-56.2145 , -49.2684)
3241:(x,y) = (-57.2022 , -49.4249)
3242:(x,y) = (-56.224 , -49.217)
3243:(x,y) = (-56.6308 , -50.1305)
3244:(x,y) = (-57.2326 , -49.3319)
3245:(x,y) = (-57.4405 , -50.31)
3246:(x,y) = (-57.6824 , -51.2803)
3247:(x,y) = (-58.5396 , -51.7954)
3248:(x,y) = (-57.5833 , -51.503)
3249:(x,y) = (-58.3493 , -50.8602)
3250:(x,y) = (-57.5302 , -51.4338)
3251:(x,y) = (-58.5288 , -51.3814)
3252:(x,y) = (-57.6378 , -51.8354)
3253:(x,y) = (-57.4299 , -52.8136)
3254:(x,y) = (-58.3504 , -52.4228)
3255:(x,y) = (-57.4232 , -52.7975)
3256:(x,y) = (-57.9824 , -53.6265)
3257:(x,y) = (-58.7138 , -52.9445)
3258:(x,y) = (-59.0884 , -53.8717)
3259:(x,y) = (-59.9794 , -53.4177)
3260:(x,y) = (-60.818 , -53.9623)
3261:(x,y) = (-61.784 , -54.2211)
3262:(x,y) = (-62.6669 , -54.6906)
3263:(x,y) = (-61.9476 , -55.3853)
3264:(x,y) = (-62.3543 , -56.2988)
3265:(x,y) = (-61.4883 , -56.7988)
3266:(x,y) = (-62.4627 , -57.0238)
3267:(x,y) = (-63.3456 , -57.4932)
3268:(x,y) = (-64.3238 , -57.7012)
3269:(x,y) = (-65.0309 , -56.994)
3270:(x,y) = (-65.8295 , -57.5959)
3271:(x,y) = (-66.7567 , -57.2213)
3272:(x,y) = (-65.9477 , -57.809)
3273:(x,y) = (-66.1556 , -56.8309)
3274:(x,y) = (-66.0337 , -57.8234)
3275:(x,y) = (-65.2247 , -58.4112)
3276:(x,y) = (-64.2247 , -58.4112)
3277:(x,y) = (-63.5176 , -57.7041)
3278:(x,y) = (-64.5138 , -57.617)
3279:(x,y) = (-64.8721 , -58.5505)
3280:(x,y) = (-65.8683 , -58.6377)
3281:(x,y) = (-66.6344 , -57.9949)
3282:(x,y) = (-66.1649 , -58.8779)
3283:(x,y) = (-65.2989 , -58.3779)
3284:(x,y) = (-64.8921 , -59.2914)
3285:(x,y) = (-64.9967 , -58.2969)
3286:(x,y) = (-65.4815 , -59.1715)
3287:(x,y) = (-64.7501 , -58.4895)
3288:(x,y) = (-65.009 , -57.5236)
3289:(x,y) = (-65.6383 , -56.7464)
3290:(x,y) = (-66.5995 , -57.0221)
3291:(x,y) = (-65.8564 , -57.6912)
3292:(x,y) = (-66.8177 , -57.9668)
3293:(x,y) = (-66.6958 , -58.9594)
3294:(x,y) = (-67.5248 , -58.4002)
3295:(x,y) = (-67.3856 , -57.4099)
3296:(x,y) = (-67.7764 , -58.3304)
3297:(x,y) = (-66.8428 , -58.6888)
3298:(x,y) = (-66.4844 , -59.6224)
3299:(x,y) = (-65.8284 , -60.3771)
3300:(x,y) = (-66.251 , -59.4708)
3301:(x,y) = (-65.3113 , -59.1288)
3302:(x,y) = (-64.3602 , -59.4378)
3303:(x,y) = (-63.7042 , -60.1925)
3304:(x,y) = (-62.7097 , -60.297)
3305:(x,y) = (-62.9005 , -61.2786)
3306:(x,y) = (-62.8133 , -62.2748)
3307:(x,y) = (-63.508 , -62.9942)
3308:(x,y) = (-62.9488 , -63.8232)
3309:(x,y) = (-62.1608 , -64.4389)
3310:(x,y) = (-62.5991 , -63.5401)
3311:(x,y) = (-61.5993 , -63.5226)
3312:(x,y) = (-61.8072 , -62.5445)
3313:(x,y) = (-61.2194 , -61.7355)
3314:(x,y) = (-60.3622 , -61.2204)
3315:(x,y) = (-60.3797 , -62.2203)
3316:(x,y) = (-61.2457 , -61.7203)
3317:(x,y) = (-62.0547 , -61.1325)
3318:(x,y) = (-61.3856 , -61.8756)
3319:(x,y) = (-62.0013 , -61.0876)
3320:(x,y) = (-62.8204 , -60.514)
3321:(x,y) = (-63.6685 , -59.9841)
3322:(x,y) = (-63.5987 , -58.9866)
3323:(x,y) = (-64.4278 , -59.5458)
3324:(x,y) = (-63.9738 , -60.4368)
3325:(x,y) = (-64.2326 , -59.4708)
3326:(x,y) = (-63.7942 , -60.3696)
3327:(x,y) = (-63.235 , -59.5406)
3328:(x,y) = (-63.1305 , -58.5461)
3329:(x,y) = (-63.2869 , -57.5584)
3330:(x,y) = (-62.2967 , -57.4192)
3331:(x,y) = (-61.9711 , -56.4737)
3332:(x,y) = (-60.9808 , -56.6129)
3333:(x,y) = (-61.724 , -57.282)
3334:(x,y) = (-61.9828 , -58.2479)
3335:(x,y) = (-62.7708 , -58.8636)
3336:(x,y) = (-63.2858 , -58.0064)
3337:(x,y) = (-62.5427 , -57.3373)
3338:(x,y) = (-62.4555 , -56.3411)
3339:(x,y) = (-62.0015 , -57.2321)
3340:(x,y) = (-61.0053 , -57.1449)
3341:(x,y) = (-60.713 , -56.1886)
3342:(x,y) = (-60.2435 , -57.0716)
3343:(x,y) = (-59.3099 , -57.4299)
3344:(x,y) = (-59.9117 , -56.6313)
3345:(x,y) = (-60.8453 , -56.9897)
3346:(x,y) = (-61.2199 , -57.9169)
3347:(x,y) = (-62.086 , -57.4169)
3348:(x,y) = (-62.874 , -58.0325)
